Category Name,Category URL
♻️ Rehypo,https://coinmarketcap.com/view/rehypothecated-crypto/
🔥 Binance Alpha,https://coinmarketcap.com/view/binance-alpha/
🔥 Memes,https://coinmarketcap.com/view/memes/
🔥 SOL,https://coinmarketcap.com/view/solana-ecosystem/
🔥 BNB,https://coinmarketcap.com/view/bnb-chain-ecosystem/
🔥 X Layer,https://coinmarketcap.com/view/x-layer-ecosystem/
🔥 AI,https://coinmarketcap.com/view/ai-big-data/
🔥 RWA Protocols,https://coinmarketcap.com/view/real-world-assets-protocols/
🔥 Gaming,https://coinmarketcap.com/view/gaming/
🔥 DePIN,https://coinmarketcap.com/view/depin/
